CustCode,EndCustomer,ProductCode,ProductType
02,HP,PC,PC
03,IBM,VRM,VRM
07,WISTRON,FS,Server
0A,杭州協能科技,HSR,HSR
0R,LITEON,FS1,Server
11,NCR,FS,Server
13,POWER,LED,LED
14,ACER,ADP,Adapter
18,MITAC,FS2,Server
19,HITACHI,FS,Server
1X,ADB,OP,OP
20,FUJITSU,PC1,PC
22,NEC,PC1,PC
23,FLYTEC,ADP,Adapter
24,DELL,PC1,PC
26,PHILIPS,ADP2,Adapter
28,DIEBOLD,FS2,Server
29,APPLE,ADP,Adapter
2A,MOTOTECH,OP,OP
2X,CALCOMP,FS1,Server
33,DOT  HILL,FS1,Server
38,COMPAL,FS1,Server
3S,MSI,FS,Server
40,LG,OP,OP
4B,SUPERMICRO,FS2,Server
4C,JUNIPER,DC/DC,DC/DC
4N,PLC,PLC,PLC
4Q,AIC,FS1,Server
4Z,ZT,FS2,Server
5B,BE,FS2,Server
5K,FIC,ADP,Adapter
60,INVENTEC,FS,Server
61,JOYTECH,FS,Server
62,CANON,ADP,Adapter
66,SCHNEIDER,OEM,OEM
6J,AMWAY,ADP,Adapter
6P,CORNING,FS2,Server
71,EMC&DELL,FS2,Server
73,NOKIA,DC/DC,DC/DC
79,CISCO,ADP,Adapter
7F,QSAN,FS2,Server
7K,迎廣,FS1,Server
7L,曙光,FS2,Server
7N,永大機電,FS2,Server
7V,INFOACTION,ADP,Adapter
81,ERICSSON,DC/DC,DC/DC
88,SHARP,OP,OP
8H,NEWTECH,FS2,Server
8K,GOOGLE,,
93,QUANTA,FS2,Server
94,WAMCO,LED,LED
9N,GTECH,FS2,Server
9T,海康威視,FS1,Server
A1,TOSHIBA,FS2,Server
A2,CELESTICA,FS2,Server
AD,TECHNICOLOR,ADP,Adapter
AF,中華電信,DC/DC,DC/DC
AN,NORTEL,DC/DC,DC/DC
AR,TOSHIBA,ADP,Adapter
B9,DJI,ADP,Adapter
BI,COMPUWARE,3Y,3Y
BK,ANDREW,DC/DC,DC/DC
BW,TIVO,OP,OP
C8,ARRIS,ADP,Adapter
CD,MITEL,FS,Server
CH,GIGABYTE,FS,Server
CX,EPSON,PC1,PC
D3,ARAS,FS,Server
D9,PACE,ADP,Adapter
DF,COMTREND,PLC,PLC
DJ,LEA,PLC,PLC
E9,FLEXTRONICS,FS1,Server
EL,LENOVO,PC1,PC
F4,CLOUD,PC,PC
F9,AMZ,ADP,Adapter
FB,CIENA,FS2,Server
FH,ICON,FS2,Server
FV,GOGORO,VE,VE
G0,GOOXI,FS1,Server
G2,宸圓科技,LED,LED
G5,比特大陸,FS2,Server
GA,DAHUA,FS1,Server
GQ,HPE,,
WC,OPTEX,LED,LED
Y1,EILI,ADP,Adapter
YD,DLH,ADP,Adapter
YK,ANTEC,ADP,Adapter
YT,TARGUS,ADP,Adapter
ZA,ASUS,STD,Standard
